title,author,googlebooks_id1,googlebooks_id2,googlebooks_id3,googlebooks_id4,googlebooks_id5
The Hunger Games,Suzanne Collins,c9RGBAAAQBAJ,Yz8Fnw0PlEQC,ZzV6DwAAQBAJ,_zSzAwAAQBAJ,zM-vZ-JiSFYC
Harry Potter and the Sorcerer's Stone,J.K. Rowling,gqX7rQEACAAJ,14jzrQEACAAJ,p0mLvgEACAAJ,_lLgPAAACAAJ,uOoyvgAACAAJ
Twilight,Stephenie Meyer,lGjFtMRqp_YC,0DNgvgEACAAJ,InX-6d0hax8C,mKfDFa8r3pYC,dR0PswEACAAJ
To Kill a Mockingbird,Harper Lee,0NEbHGREK7cC,LaMTiorjM9cC,78VrOOWSQ6UC,c9pbL5epUN4C,HgdIGqYrXj0C
The Great Gatsby,F. Scott Fitzgerald,0XYA1SlYNeMC,l1PDDAAAQBAJ,0yfauGsKOjAC,jIVjDwAAQBAJ,HVFnDwAAQBAJ
The Fault in Our Stars,John Green,Qk8n0olOX5MC,zrjMsgEACAAJ,MU_yAQAAQBAJ,K1qYDwAAQBAJ,d5f8B5CEqhMC
"The Hobbit, or There and Back Again",J.R.R. Tolkien,ULOmPwAACAAJ,de0rLwEACAAJ,Wbm1mQEACAAJ,5jS4zQEACAAJ,Lry4SK8RmQgC
The Catcher in the Rye,J.D. Salinger,K85szQEACAAJ,w_ggMQAACAAJ,-jYkvlHcK-8C,1QNxPQAACAAJ,Gwd4AAAACAAJ
Angels & Demons,Dan Brown,06LWAZxDdJsC,DKjpDwAAQBAJ,PSrOk-2R6GkC,15XABtvHcEsC,ypnHBt_lvTMC
Pride and Prejudice,Jane Austen,55AFYh5XadkC,N7QsDwAAQBAJ,STv4DQAAQBAJ,FylCUanlGhAC,vKYBAAAAQAAJ
The Kite Runner,Khaled Hosseini,MH48bnzN0LUC,pVOMDAAAQBAJ,BsCCAwAAQBAJ,uDfkyfBvpOAC,cx9LngEACAAJ
Divergent,Veronica Roth,uYwyjgEACAAJ,OX8lAAAAQBAJ,v5MH3ER4SWEC,nM5o4KKFecQC,HjIGAwAAQBAJ
1984,George Orwell,kotPYEqx7kMC,vaDa9gd1IqEC,JT_JDAAAQBAJ,OrO1zQEACAAJ,Q9lB2KU1rQ4C
Animal Farm,George Orwell,zsF8xwh6N_MC,5vX_CCb_JWQC,tth-DwAAQBAJ,nqleNXi32C0C,53TIwwEACAAJ
The Diary of a Young Girl,Anne Frank,1QVPDwAAQBAJ,AEBnCAAAQBAJ,1T43DwAAQBAJ,T2ZdwwEACAAJ,_dDSDwAAQBAJ
The Girl with the Dragon Tattoo,Stieg Larsson,qYcJVplnx5cC,gn5DZBU65HcC,I3grDwAAQBAJ,zFXnAQAACAAJ,gWaRrgEACAAJ
Catching Fire,Suzanne Collins,FN5wMOZKTYMC,gkG4lQEACAAJ,CQv0BQAAQBAJ,L3v4ugEACAAJ,HjDRoAEACAAJ
Harry Potter and the Prisoner of Azkaban,J.K. Rowling,Sm5AKLXKxHgC,IZN5BgAAQBAJ,9lPePQAACAAJ,LNpjAAAACAAJ,8-z8wQEACAAJ
The Fellowship of the Ring,J.R.R. Tolkien,aWZzLPhY4o0C,FKziXsnqLTEC,CalSzQEACAAJ,pK43Jn0RmTcC,9YvqpeVa-_QC
Mockingjay,Suzanne Collins,Iw_gHtk4ghYC,-sznugEACAAJ,RrnMoQEACAAJ,Bm1_AwAAQBAJ,B0jgDwAAQBAJ
Harry Potter and the Order of the Phoenix,J.K. Rowling,z4OV_nPmO7MC,x3OjxwEACAAJ,7aCqvwEACAAJ,jXoxywEACAAJ,7nIXywEACAAJ
The Lovely Bones,Alice Sebold,Xy3TDgAAQBAJ,int6DwAAQBAJ,r2E6cItOp5sC,ByIcngEACAAJ,8ggDjEjf06YC
Harry Potter and the Chamber of Secrets,J.K. Rowling,dOSNzQEACAAJ,55czBgAAQBAJ,mOsbHQAACAAJ,hXAbHAAACAAJ,SLtzOwAACAAJ
Harry Potter and the Goblet of Fire,J.K. Rowling,a2znRgAACAAJ,fI9EGwAACAAJ,-3rXnAEACAAJ,ELUTyQEACAAJ,1AD5yAEACAAJ
Harry Potter and the Deathly Hallows,J.K. Rowling,gCtazG4ZXlQC,p0mLvgEACAAJ,11dPLAAACAAJ,ULp5DQAAQBAJ,uqcVZUoL6dkC
The Da Vinci Code,Dan Brown,2mmGFALfiWcC,TB0ZDAAAQBAJ,RJTPuVpEYpIC,6-pmDwAAQBAJ,rxEvDAAAQBAJ
